,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
3162,22SOpen,MATH 5303.001,Advanced Calculus and Linear Algebra,Anatoly Eydelzon ,Tuesday,11:30:00,12:45:00,SCI 3.240
3163,22SOpen,MATH 5303.001,Advanced Calculus and Linear Algebra,Anatoly Eydelzon ,Thursday,11:30:00,12:45:00,SCI 3.240
3164,22SOpen,MATH 6302.501,Functional Analysis I,Wieslaw Krawcewicz ,Tuesday,17:30:00,18:45:00,FO 1.502
3165,22SOpen,MATH 6302.501,Functional Analysis I,Wieslaw Krawcewicz ,Thursday,17:30:00,18:45:00,FO 1.502
3166,22SOpen,MATH 6303.001,Theory of Complex Functions I,Vladimir Dragovic ,Monday,11:30:00,12:45:00,SCI 2.210
3167,22SOpen,MATH 6303.001,Theory of Complex Functions I,Vladimir Dragovic ,Wednesday,11:30:00,12:45:00,SCI 2.210
3168,22SOpen,MATH 6310.001,Topology,Baris Coskunuzer ,Tuesday,14:30:00,15:45:00,SCI 3.240
3169,22SOpen,MATH 6310.001,Topology,Baris Coskunuzer ,Thursday,14:30:00,15:45:00,SCI 3.240
3170,22SOpen,MATH 6312.501,Combinatorics and Graph Theory,Viswanath Ramakrishna ,Tuesday,17:30:00,18:45:00,SCI 3.220
3171,22SOpen,MATH 6312.501,Combinatorics and Graph Theory,Viswanath Ramakrishna ,Thursday,17:30:00,18:45:00,SCI 3.220
3172,22SOpen,MATH 6316.501,Differential Equations,Maxim Arnold ,Monday,17:30:00,18:45:00,SCI 2.210
3173,22SOpen,MATH 6316.501,Differential Equations,Maxim Arnold ,Wednesday,17:30:00,18:45:00,SCI 2.210
3174,22SOpen,MATH 6321.001,Optimization,Janos Turi ,Monday,16:00:00,17:15:00,SCI 2.210
3175,22SOpen,MATH 6321.001,Optimization,Janos Turi ,Wednesday,16:00:00,17:15:00,SCI 2.210
3176,22SOpen,MATH 6322.501,Mathematical Foundations of Data Science,Viswanath Ramakrishna ,Tuesday,19:00:00,20:15:00,SCI 3.220
3177,22SOpen,MATH 6322.501,Mathematical Foundations of Data Science,Viswanath Ramakrishna ,Thursday,19:00:00,20:15:00,SCI 3.220
3178,22SOpen,MATH 6340.001,Numerical Linear Algebra,Susan Minkoff ,Monday,14:30:00,15:45:00,SCI 2.215
3179,22SOpen,MATH 6340.001,Numerical Linear Algebra,Susan Minkoff ,Wednesday,14:30:00,15:45:00,SCI 2.215
3182,22SOpen,MATH 6390.001,Topics in Mathematics - Level 6 - Abstract Algebra II,Carlos Arreche ,Monday,13:00:00,14:15:00,SCI 2.215
3183,22SOpen,MATH 6390.001,Topics in Mathematics - Level 6 - Abstract Algebra II,Carlos Arreche ,Wednesday,13:00:00,14:15:00,SCI 2.215
3184,22SOpen,MATH 6390.002,Topics in Mathematics - Level 6 - Geometric Mechanics,Tomoki Ohsawa ,Monday,14:30:00,15:45:00,GR 4.208
3185,22SOpen,MATH 6390.002,Topics in Mathematics - Level 6 - Geometric Mechanics,Tomoki Ohsawa ,Wednesday,14:30:00,15:45:00,GR 4.208
3186,22SOpen,MATH 7319.501,Functional Analysis II,Dmitry Rachinskiy ,Tuesday,17:30:00,18:45:00,FN 2.202
3187,22SOpen,MATH 7319.501,Functional Analysis II,Dmitry Rachinskiy ,Thursday,17:30:00,18:45:00,FN 2.202
3188,22SOpen,MATH 7329.001,Topological and Algebraic Methods in Nonlinear Differential Equations,Zalman Balanov ,Tuesday,16:00:00,17:15:00,CB3 1.304
3189,22SOpen,MATH 7329.001,Topological and Algebraic Methods in Nonlinear Differential Equations,Zalman Balanov ,Thursday,16:00:00,17:15:00,CB3 1.304
3190,22SOpen,MECH 1208.301,Introduction to Mechanical Engineering II,Oziel Rios ,Tuesday,10:00:00,11:50:00,ECSW 1.130
3191,22SOpen,MECH 1208.302,Introduction to Mechanical Engineering II,Oziel Rios ,Tuesday,13:00:00,14:40:00,ECSW 1.130
3192,22SOpen,MECH 1208.303,Introduction to Mechanical Engineering II,Dani Fadda ,Wednesday,10:00:00,11:50:00,ECSW 1.130
3193,22SFull,MECH 1208.304,Introduction to Mechanical Engineering II,Dani Fadda ,Wednesday,13:00:00,14:50:00,ECSW 1.130
3194,22SOpen,MECH 1208.305,Introduction to Mechanical Engineering II,Oziel Rios ,Thursday,10:00:00,11:50:00,ECSW 1.130
